[2022-05-02 14:24:23,937][__main__][INFO] - Loading augmented data
[2022-05-02 14:24:24,429][__main__][INFO] - Image size: 32
[2022-05-02 14:24:24,430][__main__][INFO] - Number of channels: 6
[2022-05-02 14:24:24,430][__main__][INFO] - Initial number of filters: 8
[2022-05-02 14:24:24,430][__main__][INFO] - Kernel size: (5, 5)
[2022-05-02 14:24:24,430][__main__][INFO] - Dropout rate: 0.5
[2022-05-02 14:24:25,429][__main__][INFO] - Early stop patience: 30
[2022-05-02 14:24:25,430][__main__][INFO] - Early stop monitor: val_accuracy
[2022-05-02 14:24:25,430][__main__][INFO] - Batch size: 256
[2022-05-02 14:24:25,430][__main__][INFO] - Epochs: 400
[2022-05-02 14:43:57,958][tensorflow][INFO] - Assets written to: /tmp/tmpjj4bh03t/model/data/model/assets
[2022-05-02 14:44:06,934][__main__][INFO] - Training complete
[2022-05-02 14:44:08,299][__main__][INFO] - Test metrics logged
